name	type	group	oX	oY	oZ	xX	xY	xZ	yX	yY	yZ	zX	zY	zZ
Maxilla (Soft Tissue)	Maxilla Soft	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 17	Tooth 17	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 16	Tooth 16	0	-0.129	-0.140	0.389	1.000	-0.005	0.017	0.005	1.000	-0.001	-0.017	0.001	1.000
Tooth 15	Tooth 15	0	-0.005	-0.001	-0.061	1.000	-0.001	0.000	0.001	1.000	0.003	0.000	-0.003	1.000
Tooth 14	Tooth 14	0	-0.033	-0.136	-0.022	1.000	-0.006	0.001	0.006	1.000	-0.004	-0.001	0.004	1.000
Tooth 13	Tooth 13	0	-0.045	-0.035	-0.079	1.000	-0.001	-0.002	0.001	1.000	-0.002	0.002	0.002	1.000
Tooth 12	Tooth 12	0	0.038	0.020	-0.018	1.000	-0.003	0.003	0.003	1.000	0.002	-0.003	-0.002	1.000
Tooth 11	Tooth 11	0	0.062	-0.081	0.006	1.000	-0.001	0.004	0.001	1.000	-0.003	-0.004	0.003	1.000
Tooth 21	Tooth 21	0	-0.070	-0.078	-0.079	1.000	0.002	-0.001	-0.002	1.000	-0.003	0.001	0.003	1.000
Tooth 22	Tooth 22	0	0.120	0.114	-0.120	1.000	0.000	0.008	0.000	1.000	0.004	-0.008	-0.004	1.000
Tooth 23	Tooth 23	0	-0.092	0.027	0.061	1.000	-0.003	-0.005	0.003	1.000	-0.002	0.005	0.002	1.000
Tooth 24	Tooth 24	0	0.008	0.001	-0.002	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 25	Tooth 25	0	0.010	0.001	0.003	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 26	Tooth 26	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 27	Tooth 27	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Mandible (Soft Tissue)	Mandible Soft	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 37	Tooth 37	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 36	Tooth 36	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 35	Tooth 35	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 34	Tooth 34	1	-0.006	0.000	-0.009	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 33	Tooth 33	1	0.399	0.153	-0.221	1.000	-0.006	0.021	0.006	1.000	0.005	-0.021	-0.004	1.000
Tooth 32	Tooth 32	1	-0.495	-0.001	0.121	1.000	0.017	-0.020	-0.017	1.000	0.005	0.020	-0.005	1.000
Tooth 31	Tooth 31	1	-0.310	-0.064	-0.031	1.000	0.010	-0.011	-0.010	1.000	-0.001	0.011	0.001	1.000
Tooth 41	Tooth 41	1	0.437	-0.003	0.047	1.000	-0.009	0.021	0.009	1.000	0.002	-0.021	-0.002	1.000
Tooth 42	Tooth 42	1	0.716	0.005	0.279	0.999	-0.015	0.035	0.015	1.000	0.007	-0.035	-0.006	0.999
Tooth 43	Tooth 43	1	0.092	-0.014	0.029	1.000	-0.002	0.006	0.002	1.000	0.000	-0.006	0.000	1.000
Tooth 44	Tooth 44	1	-0.002	0.000	-0.005	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 45	Tooth 45	1	-0.002	0.000	-0.005	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 46	Tooth 46	1	0.014	0.019	-0.005	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 47	Tooth 47	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
16: Box 2 x 3 mm	BrktAttm	0	-26.046	4.324	-3.895	-0.647	-0.502	-0.574	0.417	-0.863	0.286	-0.639	-0.054	0.767
15: Box 2 x 3 mm	BrktAttm	0	-23.743	2.460	3.401	-0.615	0.081	-0.784	0.011	-0.994	-0.111	-0.788	-0.077	0.610
14: Box 2 x 3 mm	BrktAttm	0	-20.612	1.872	9.671	-0.841	-0.021	-0.541	0.147	-0.971	-0.191	-0.521	-0.240	0.819
13: Box 2 x 4 mm	BrktAttm	0	-17.590	1.820	15.643	-0.599	0.368	-0.711	-0.070	-0.909	-0.412	-0.797	-0.197	0.570
12: Box 2 x 3 mm	BrktAttm	0	-11.526	1.834	21.620	-0.969	-0.094	-0.227	0.088	-0.995	0.036	-0.230	0.015	0.973
22: Box 2 x 3 mm	BrktAttm	0	11.690	1.775	21.755	-0.622	0.404	0.671	-0.336	-0.912	0.238	0.708	-0.078	0.702
23: Box 2 x 4 mm	BrktAttm	0	17.101	2.852	17.657	-0.798	0.345	0.494	-0.269	-0.938	0.219	0.538	0.042	0.842
